"","state.abb","state.area","state.division","state.name","state.region","Population","Income","Illiteracy","Life.Exp","Murder","HS.Grad","Frost","Area","x","y"
"Alabama","AL",51609,"East South Central","Alabama","South",3615,3624,2.1,69.05,15.1,41.3,20,50708,-86.7509,32.5901
"Alaska","AK",589757,"Pacific","Alaska","West",365,6315,1.5,69.31,11.3,66.7,152,566432,-127.25,49.25
"Arizona","AZ",113909,"Mountain","Arizona","West",2212,4530,1.8,70.55,7.8,58.1,15,113417,-111.625,34.2192
"Arkansas","AR",53104,"West South Central","Arkansas","South",2110,3378,1.9,70.66,10.1,39.9,65,51945,-92.2992,34.7336
"California","CA",158693,"Pacific","California","West",21198,5114,1.1,71.71,10.3,62.6,20,156361,-119.773,36.5341
"Colorado","CO",104247,"Mountain","Colorado","West",2541,4884,0.7,72.06,6.8,63.9,166,103766,-105.513,38.6777
"Connecticut","CT",5009,"New England","Connecticut","Northeast",3100,5348,1.1,72.48,3.1,56,139,4862,-72.3573,41.5928
"Delaware","DE",2057,"South Atlantic","Delaware","South",579,4809,0.9,70.06,6.2,54.6,103,1982,-74.9841,38.6777
"Florida","FL",58560,"South Atlantic","Florida","South",8277,4815,1.3,70.66,10.7,52.6,11,54090,-81.685,27.8744
"Georgia","GA",58876,"South Atlantic","Georgia","South",4931,4091,2,68.54,13.9,40.6,60,58073,-83.3736,32.3329
"Hawaii","HI",6450,"Pacific","Hawaii","West",868,4963,1.9,73.6,6.2,61.9,0,6425,-126.25,31.75
"Idaho","ID",83557,"Mountain","Idaho","West",813,4119,0.6,71.87,5.3,59.5,126,82677,-113.93,43.5648
"Illinois","IL",56400,"East North Central","Illinois","North Central",11197,5107,0.9,70.14,10.3,52.6,127,55748,-89.3776,40.0495
"Indiana","IN",36291,"East North Central","Indiana","North Central",5313,4458,0.7,70.88,7.1,52.9,122,36097,-86.0808,40.0495
"Iowa","IA",56290,"West North Central","Iowa","North Central",2861,4628,0.5,72.56,2.3,59,140,55941,-93.3714,41.9358
"Kansas","KS",82264,"West North Central","Kansas","North Central",2280,4669,0.6,72.58,4.5,59.9,114,81787,-98.1156,38.4204
"Kentucky","KY",40395,"East South Central","Kentucky","South",3387,3712,1.6,70.1,10.6,38.5,95,39650,-84.7674,37.3915
"Louisiana","LA",48523,"West South Central","Louisiana","South",3806,3545,2.8,68.76,13.2,42.2,12,44930,-92.2724,30.6181
"Maine","ME",33215,"New England","Maine","Northeast",1058,3694,0.7,70.39,2.7,54.7,161,30920,-68.9801,45.6226
"Maryland","MD",10577,"South Atlantic","Maryland","South",4122,5299,0.9,70.22,8.5,52.3,101,9891,-76.6459,39.2778
"Massachusetts","MA",8257,"New England","Massachusetts","Northeast",5814,4755,1.1,71.83,3.3,58.5,103,7826,-71.58,42.3645
"Michigan","MI",58216,"East North Central","Michigan","North Central",9111,4751,0.9,70.63,11.1,52.8,125,56817,-84.687,43.1361
"Minnesota","MN",84068,"West North Central","Minnesota","North Central",3921,4675,0.6,72.96,2.3,57.6,160,79289,-94.6043,46.3943
"Mississippi","MS",47716,"East South Central","Mississippi","South",2341,3098,2.4,68.09,12.5,41,50,47296,-89.8065,32.6758
"Missouri","MO",69686,"West North Central","Missouri","North Central",4767,4254,0.8,70.69,9.3,48.8,108,68995,-92.5137,38.3347
"Montana","MT",147138,"Mountain","Montana","West",746,4347,0.6,70.56,5,59.2,155,145587,-109.32,46.823
"Nebraska","NE",77227,"West North Central","Nebraska","North Central",1544,4508,0.6,72.6,2.9,59.3,139,76483,-99.5898,41.3356
"Nevada","NV",110540,"Mountain","Nevada","West",590,5149,0.5,69.03,11.5,65.2,188,109889,-116.851,39.1063
"New Hampshire","NH",9304,"New England","New Hampshire","Northeast",812,4281,0.7,71.23,3.3,57.6,174,9027,-71.3924,43.3934
"New Jersey","NJ",7836,"Middle Atlantic","New Jersey","Northeast",7333,5237,1.1,70.93,5.2,52.5,115,7521,-74.2336,39.9637
"New Mexico","NM",121666,"Mountain","New Mexico","West",1144,3601,2.2,70.32,9.7,55.2,120,121412,-105.942,34.4764
"New York","NY",49576,"Middle Atlantic","New York","Northeast",18076,4903,1.4,70.55,10.9,52.7,82,47831,-75.1449,43.1361
"North Carolina","NC",52586,"South Atlantic","North Carolina","South",5441,3875,1.8,69.21,11.1,38.5,80,48798,-78.4686,35.4195
"North Dakota","ND",70665,"West North Central","North Dakota","North Central",637,5087,0.8,72.78,1.4,50.3,186,69273,-100.099,47.2517
"Ohio","OH",41222,"East North Central","Ohio","North Central",10735,4561,0.8,70.82,7.4,53.2,124,40975,-82.5963,40.221
"Oklahoma","OK",69919,"West South Central","Oklahoma","South",2715,3983,1.1,71.42,6.4,51.6,82,68782,-97.1239,35.5053
"Oregon","OR",96981,"Pacific","Oregon","West",2284,4660,0.6,72.13,4.2,60,44,96184,-120.068,43.9078
"Pennsylvania","PA",45333,"Middle Atlantic","Pennsylvania","Northeast",11860,4449,1,70.43,6.1,50.2,126,44966,-77.45,40.9069
"Rhode Island","RI",1214,"New England","Rhode Island","Northeast",931,4558,1.3,71.9,2.4,46.4,127,1049,-71.1244,41.5928
"South Carolina","SC",31055,"South Atlantic","South Carolina","South",2816,3635,2.3,67.96,11.6,37.8,65,30225,-80.5056,33.619
"South Dakota","SD",77047,"West North Central","South Dakota","North Central",681,4167,0.5,72.08,1.7,53.3,172,75955,-99.7238,44.3365
"Tennessee","TN",42244,"East South Central","Tennessee","South",4173,3821,1.7,70.11,11,41.8,70,41328,-86.456,35.6767
"Texas","TX",267339,"West South Central","Texas","South",12237,4188,2.2,70.9,12.2,47.4,35,262134,-98.7857,31.3897
"Utah","UT",84916,"Mountain","Utah","West",1203,4022,0.6,72.9,4.5,67.3,137,82096,-111.33,39.1063
"Vermont","VT",9609,"New England","Vermont","Northeast",472,3907,0.6,71.64,5.5,57.1,168,9267,-72.545,44.2508
"Virginia","VA",40815,"South Atlantic","Virginia","South",4981,4701,1.4,70.08,9.5,47.8,85,39780,-78.2005,37.563
"Washington","WA",68192,"Pacific","Washington","West",3559,4864,0.6,71.72,4.3,63.5,32,66570,-119.746,47.4231
"West Virginia","WV",24181,"South Atlantic","West Virginia","South",1799,3617,1.4,69.48,6.7,41.6,100,24070,-80.6665,38.4204
"Wisconsin","WI",56154,"East North Central","Wisconsin","North Central",4589,4468,0.7,72.48,3,54.5,149,54464,-89.9941,44.5937
"Wyoming","WY",97914,"Mountain","Wyoming","West",376,4566,0.6,70.29,6.9,62.9,173,97203,-107.256,43.0504
